Date,count
01/01/2021,3282
01/01/2022,3283
01/02/2021,3282
01/02/2022,3283
01/03/2021,3282
01/03/2022,3283
01/04/2021,3282
01/04/2022,3283
01/04/2023,3283
01/05/2021,3282
01/05/2022,3283
01/06/2021,3282
01/06/2022,3283
01/07/2021,3282
01/07/2022,3283
01/08/2021,3282
01/08/2022,3283
01/09/2021,3282
01/09/2022,3283
01/10/2021,3282
01/10/2022,3283
01/11/2021,3282
01/11/2022,3283
01/11/2023,3283
01/12/2021,3282
01/12/2022,3283
01/13/2021,3282
01/13/2022,3283
01/14/2021,3282
01/14/2022,3283
01/15/2021,3282
01/15/2022,3283
01/16/2021,3282
01/16/2022,3283
01/17/2021,3282
01/17/2022,3283
01/18/2021,3282
01/18/2022,3283
01/18/2023,3283
01/19/2021,3282
01/19/2022,3283
01/20/2021,3282
01/20/2022,3283
01/21/2021,3282
01/21/2022,3283
01/22/2021,3282
01/22/2022,3283
01/23/2021,3282
01/23/2022,3283
01/24/2021,3282
01/24/2022,3283
01/25/2021,3282
01/25/2022,3283
01/25/2023,3283
01/26/2021,3282
01/26/2022,3283
01/27/2021,3282
01/27/2022,3283
01/28/2021,3282
01/28/2022,3283
01/29/2021,3282
01/29/2022,3283
01/30/2021,3282
01/30/2022,3283
01/31/2021,3282
01/31/2022,3283
02/01/2021,3282
02/01/2022,3283
02/01/2023,3283
02/02/2021,3282
02/02/2022,3283
02/03/2021,3282
02/03/2022,3283
02/04/2021,3282
02/04/2022,3283
02/05/2021,3282
02/05/2022,3283
02/06/2021,3282
02/06/2022,3283
02/07/2021,3282
02/07/2022,3283
02/08/2021,3282
02/08/2022,3283
02/08/2023,3283
02/09/2021,3282
02/09/2022,3283
02/10/2021,3282
02/10/2022,3283
02/11/2021,3282
02/11/2022,3283
02/12/2021,3282
02/12/2022,3283
02/13/2021,3282
02/13/2022,3283
02/14/2021,3282
02/14/2022,3283
02/15/2021,3282
02/15/2022,3283
02/15/2023,3283
02/16/2021,3282
02/16/2022,3283
02/17/2021,3282
02/17/2022,3283
02/18/2021,3282
02/18/2022,3283
02/19/2021,3282
02/19/2022,3283
02/20/2021,3282
02/20/2022,3283
02/21/2021,3282
02/21/2022,3283
02/22/2021,3282
02/22/2022,3283
02/22/2023,3283
02/23/2021,3282
02/23/2022,3283
02/24/2021,3282
02/24/2022,3283
02/25/2021,3282
02/25/2022,3283
02/26/2021,3282
02/26/2022,3283
02/27/2021,3282
02/27/2022,3283
02/28/2021,3282
02/28/2022,3283
03/01/2021,3282
03/01/2022,3283
03/01/2023,3283
03/02/2021,3282
03/02/2022,3283
03/03/2021,3282
03/03/2022,3283
03/04/2021,3282
03/04/2022,3283
03/05/2021,3282
03/05/2022,3283
03/06/2021,3282
03/06/2022,3283
03/07/2021,3282
03/07/2022,3283
03/08/2021,3282
03/08/2022,3283
03/09/2021,3282
03/09/2022,3283
03/10/2021,3282
03/10/2022,3283
03/11/2021,3282
03/11/2022,3283
03/12/2021,3282
03/12/2022,3283
03/13/2021,3282
03/13/2022,3283
03/14/2021,3282
03/14/2022,3283
03/15/2021,3282
03/15/2022,3283
03/16/2021,3282
03/16/2022,3283
03/17/2021,3282
03/17/2022,3283
03/18/2021,3282
03/18/2022,3283
03/19/2021,3282
03/19/2022,3283
03/20/2021,3282
03/20/2022,3283
03/21/2021,3282
03/21/2022,3283
03/22/2021,3282
03/22/2022,3283
03/23/2021,3282
03/23/2022,3283
03/24/2021,3282
03/24/2022,3282
03/25/2021,3282
03/25/2022,3282
03/26/2021,3282
03/26/2022,3282
03/27/2021,3282
03/27/2022,3282
03/28/2021,3282
03/28/2022,3282
03/29/2021,3282
03/29/2022,3282
03/30/2021,3282
03/30/2022,3282
03/31/2021,3282
03/31/2022,3282
04/01/2021,3282
04/01/2022,3282
04/02/2021,3282
04/02/2022,3282
04/03/2021,3282
04/03/2022,3282
04/04/2021,3282
04/04/2022,3284
04/05/2021,3282
04/05/2022,3284
04/06/2021,3282
04/06/2022,3284
04/07/2021,3282
04/07/2022,3284
04/08/2021,3282
04/08/2022,3284
04/09/2021,3282
04/09/2022,3284
04/10/2021,3282
04/10/2022,3284
04/11/2021,3282
04/11/2022,3284
04/12/2021,3282
04/12/2022,3284
04/13/2021,3282
04/13/2022,3284
04/14/2021,3282
04/14/2022,3284
04/15/2021,3282
04/15/2022,3284
04/16/2021,3282
04/16/2022,3284
04/17/2021,3282
04/17/2022,3284
04/18/2021,3282
04/18/2022,3284
04/19/2021,3282
04/19/2022,3284
04/20/2021,3282
04/20/2022,3284
04/21/2021,3282
04/21/2022,3284
04/22/2021,3282
04/22/2022,3284
04/23/2021,3282
04/23/2022,3284
04/24/2021,3282
04/24/2022,3284
04/25/2021,3282
04/25/2022,3284
04/26/2021,3282
04/26/2022,3284
04/27/2021,3282
04/27/2022,3284
04/28/2021,3282
04/28/2022,3284
04/29/2021,3282
04/29/2022,3284
04/30/2021,3282
04/30/2022,3284
05/01/2021,3282
05/01/2022,3284
05/02/2021,3282
05/02/2022,3284
05/03/2021,3282
05/03/2022,3284
05/04/2021,3282
05/04/2022,3284
05/05/2021,3282
05/05/2022,3284
05/06/2021,3282
05/06/2022,3284
05/07/2021,3282
05/07/2022,3284
05/08/2021,3282
05/08/2022,3284
05/09/2021,3282
05/09/2022,3284
05/10/2021,3282
05/10/2022,3284
05/11/2021,3282
05/11/2022,3284
05/12/2021,3282
05/12/2022,3284
05/13/2021,3282
05/13/2022,3284
05/14/2021,3282
05/14/2022,3284
05/15/2021,3282
05/15/2022,3284
05/16/2021,3282
05/16/2022,3284
05/17/2021,3282
05/17/2022,3284
05/18/2021,3282
05/18/2022,3284
05/19/2021,3282
05/19/2022,3284
05/20/2021,3282
05/20/2022,3284
05/21/2021,3282
05/21/2022,3284
05/22/2021,3282
05/22/2022,3284
05/23/2021,3282
05/23/2022,3284
05/24/2021,3282
05/24/2022,3284
05/25/2021,3282
05/25/2022,3284
05/26/2021,3282
05/26/2022,3284
05/27/2021,3282
05/27/2022,3284
05/28/2021,3282
05/28/2022,3284
05/29/2021,3282
05/29/2022,3284
05/30/2021,3282
05/30/2022,3284
05/31/2021,3282
05/31/2022,3284
06/01/2021,3282
06/01/2022,3284
06/02/2021,3282
06/02/2022,3284
06/03/2021,3282
06/03/2022,3284
06/04/2021,3282
06/04/2022,3284
06/05/2021,3282
06/05/2022,3284
06/06/2021,3282
06/06/2022,3284
06/07/2021,3282
06/07/2022,3284
06/08/2021,3282
06/08/2022,3284
06/09/2021,3282
06/09/2022,3284
06/10/2021,3282
06/10/2022,3284
06/11/2021,3282
06/11/2022,3284
06/12/2021,3282
06/12/2022,3284
06/13/2021,3282
06/13/2022,3284
06/14/2021,3282
06/14/2022,3284
06/15/2021,3282
06/15/2022,3284
06/16/2021,3282
06/16/2022,3284
06/17/2021,3282
06/18/2021,3282
06/19/2021,3282
06/20/2021,3282
06/21/2021,3282
06/22/2021,3282
06/22/2022,3284
06/23/2021,3282
06/24/2021,3282
06/25/2021,3282
06/26/2021,3282
06/27/2021,3282
06/28/2021,3282
06/29/2021,3282
06/29/2022,3284
06/30/2021,3282
07/01/2021,3282
07/02/2021,3282
07/03/2021,3282
07/04/2021,3282
07/05/2021,3282
07/06/2021,3282
07/06/2022,3284
07/07/2021,3282
07/08/2021,3282
07/09/2021,3282
07/10/2021,3282
07/11/2021,3282
07/12/2021,3282
07/13/2021,3282
07/13/2022,3284
07/14/2021,3282
07/15/2021,3282
07/16/2021,3282
07/17/2021,3282
07/18/2021,3282
07/19/2021,3282
07/20/2021,3282
07/20/2022,3284
07/21/2021,3282
07/22/2021,3282
07/23/2021,3282
07/24/2021,3282
07/25/2021,3282
07/26/2021,3282
07/27/2021,3282
07/27/2022,3283
07/28/2021,3282
07/29/2021,3282
07/30/2021,3282
07/31/2021,3282
08/01/2021,3282
08/02/2021,3282
08/03/2021,3282
08/03/2022,3283
08/04/2021,3282
08/05/2021,3282
08/06/2021,3282
08/07/2021,3282
08/08/2021,3282
08/09/2021,3282
08/10/2021,3282
08/10/2022,3283
08/11/2021,3282
08/12/2021,3282
08/13/2021,3282
08/14/2021,3282
08/15/2021,3282
08/16/2021,3282
08/17/2021,3282
08/17/2022,3283
08/18/2021,3282
08/19/2021,3282
08/20/2021,3282
08/21/2021,3282
08/22/2021,3282
08/23/2021,3282
08/24/2021,3282
08/24/2022,3283
08/25/2021,3282
08/26/2021,3282
08/27/2021,3282
08/28/2021,3282
08/29/2021,3282
08/30/2021,3282
08/31/2021,3282
08/31/2022,3283
09/01/2021,3282
09/02/2021,3282
09/03/2021,3282
09/04/2021,3282
09/05/2021,3282
09/06/2021,3282
09/07/2021,3282
09/07/2022,3283
09/08/2021,3282
09/09/2021,3282
09/10/2021,3282
09/11/2021,3282
09/12/2021,3282
09/13/2021,3282
09/14/2021,3282
09/14/2022,3283
09/15/2021,3282
09/16/2021,3282
09/17/2021,3282
09/18/2021,3282
09/19/2021,3282
09/20/2021,3282
09/21/2021,3282
09/21/2022,3283
09/22/2021,3282
09/23/2021,3282
09/24/2021,3282
09/25/2021,3282
09/26/2021,3282
09/27/2021,3282
09/28/2021,3282
09/28/2022,3283
09/29/2021,3282
09/30/2021,3282
10/01/2021,3282
10/02/2021,3282
10/03/2021,3282
10/04/2021,3282
10/05/2021,3282
10/05/2022,3283
10/06/2021,3282
10/07/2021,3282
10/08/2021,3282
10/09/2021,3282
10/10/2021,3282
10/11/2021,3282
10/12/2021,3282
10/12/2022,3283
10/13/2021,3282
10/14/2021,3282
10/15/2021,3282
10/16/2021,3282
10/17/2021,3282
10/18/2021,3282
10/19/2021,3282
10/19/2022,3283
10/20/2021,3282
10/21/2021,3282
10/22/2021,3283
10/23/2021,3283
10/24/2021,3283
10/25/2021,3283
10/26/2021,3283
10/26/2022,3283
10/27/2021,3283
10/28/2021,3283
10/29/2021,3283
10/30/2021,3283
10/31/2021,3283
11/01/2021,3283
11/02/2021,3283
11/02/2022,3283
11/03/2021,3283
11/04/2021,3283
11/05/2021,3283
11/06/2021,3283
11/07/2021,3283
11/08/2021,3283
11/09/2021,3283
11/09/2022,3283
11/10/2021,3283
11/11/2021,3283
11/12/2021,3283
11/13/2021,3283
11/14/2021,3283
11/15/2021,3283
11/16/2021,3283
11/16/2022,3284
11/17/2021,3283
11/18/2021,3283
11/19/2021,3283
11/20/2021,3283
11/21/2021,3283
11/22/2021,3283
11/23/2021,3283
11/23/2022,3284
11/24/2021,3283
11/25/2021,3283
11/26/2021,3283
11/27/2021,3283
11/28/2021,3283
11/29/2021,3283
11/30/2021,3283
11/30/2022,3283
12/01/2021,3283
12/02/2021,3283
12/03/2021,3283
12/04/2021,3283
12/05/2021,3283
12/06/2021,3283
12/07/2021,3283
12/07/2022,3283
12/08/2021,3283
12/09/2021,3283
12/10/2021,3283
12/11/2021,3283
12/12/2021,3283
12/13/2020,3224
12/13/2021,3283
12/14/2020,3224
12/14/2021,3283
12/14/2022,3283
12/15/2020,3237
12/15/2021,3283
12/16/2020,3268
12/16/2021,3283
12/17/2020,3275
12/17/2021,3283
12/18/2020,3277
12/18/2021,3283
12/19/2020,3277
12/19/2021,3283
12/20/2020,3278
12/20/2021,3283
12/21/2020,3278
12/21/2021,3283
12/21/2022,3283
12/22/2020,3279
12/22/2021,3283
12/23/2020,3281
12/23/2021,3283
12/24/2020,3281
12/24/2021,3283
12/25/2020,3281
12/25/2021,3283
12/26/2020,3281
12/26/2021,3283
12/27/2020,3281
12/27/2021,3283
12/28/2020,3281
12/28/2021,3283
12/28/2022,3283
12/29/2020,3281
12/29/2021,3283
12/30/2020,3282
12/30/2021,3283
12/31/2020,3282
12/31/2021,3283
